target,text,cleaned_text,processed_text
0,@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,lol definantly not hot haha and i would for sure cry if u kicked my unhealed boobs,lol definantly hot haha would sure cry kicked unhealed boob
0,@lindseliz tweet tweet! why can't i write on your wall? ,tweet tweet why cannot i write on your wall,tweet tweet write wall
0,@Liinduhhh are you serious biff ? ,are you serious biff,serious biff
1,@NuGoth lol So am I - kinda  What is it you do actually?,lol so am i kinda what is it you do actually,lol kinda actually
1,@YourMyTwilight have fun! ,have fun,fun
1,@ElizaPatricia The glasses make you look coquettish. ,the glasses make you look coquettish,glass make look coquettish
1,"@qclindalou Haha, that only helps if anything.  Thanks.",haha that only helps if anything thanks,haha help anything thanks
0,Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,went to a bbq at janet is out of the nuggets loop but think they lost due to facebook comments,went bbq janet nugget loop think lost due facebook comment
1,What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up ,what is your fav milkshake place in flagstaff flg needing a creamy delightful pick me up,fav milkshake place flagstaff flg needing creamy delightful pick
1,"Watched the New Moon trailer just then, now just have to wait for the next one ",watched the new moon trailer just then now just have to wait for the next one,watched new moon trailer wait next one
0,wants to go to Disneyland! ,wants to go to disneyland,want go disneyland
0,@KatyLinda oh no  i thought both would be cool - guess i'm not cool w/ the 4yr olds lol,oh no i thought both would be cool guess i am not cool w the yr olds lol,oh thought would cool guess cool yr old lol
1,@trvsbrkr http://twitpic.com/4hvhs - She's cute ,she is cute,cute
0,@GirlswithGoals I'm sorry to hear about the death of your beloved canine ,i am sorry to hear about the death of your beloved canine,sorry hear death beloved canine
0,still hav my cough! now it mite be bronchitis!  bec everytime i cough my chest hurts! so dont lik doctors...,still hav my cough now it mite be bronchitis bec everytime i cough my chest hurts so dont lik doctors,still hav cough mite bronchitis bec everytime cough chest hurt dont lik doctor
1,Splish splash  welcome summer,splish splash welcome summer,splish splash welcome summer
0,"Okay, apparently I DIDN'T miss the deadline for JB m&amp;g's, but it would be kinda lame to win, I would feel really bad about it. ",okay apparently i did not miss the deadline for jb mampg is but it would be kinda lame to win i would feel really bad about it,okay apparently miss deadline jb mampg would kinda lame win would feel really bad
1,@stacey_baby good morning girlie  How are you? xo,good morning girlie how are you xo,good morning girlie xo
1,@Lemonpi is it the one on your blog? next will be mushrooms ,is it the one on your blog next will be mushrooms,one blog next mushroom
0,Who is going to the Online Fashion 100 party tonight in London? I am invited but nobody to go with ,who is going to the online fashion party tonight in london i am invited but nobody to go with,going online fashion party tonight london invited nobody go
1,lol @QueenLizII - maybe the Queen does tweet! ,lol maybe the queen does tweet,lol maybe queen tweet
1,"ohhh! and and and, haha, lol. Swag? igotmyswagback?? HAhaa. Honestly I feel flattered. ",ohhh and and and haha lol swag igotmyswagback hahaa honestly i feel flattered,ohhh haha lol swag igotmyswagback hahaa honestly feel flattered
0,@wimjimjam yes yes yes... stupid people  UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,yes yes yes stupid people unless it is my twitter use roflbut i use wifi at home,yes yes yes stupid people unless twitter use roflbut use wifi home
1,soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie ,soooooo i finally joined twitter what do you know and terminator was freaking awesome christian totally made that movie,soooooo finally joined twitter know terminator freaking awesome christian totally made movie
1,"it's not my job to know anybody, anybody says so, I would immediately keep distance with them......... ",it is not my job to know anybody anybody says so i would immediately keep distance with them,job know anybody anybody say would immediately keep distance
0,"Been working hard. London had glorious weather, came back to Kent and it was raining ",been working hard london had glorious weather came back to kent and it was raining,working hard london glorious weather came back kent raining
1,yay! I'm leaving for Dallas! @cutekiwi you are still invited! ,yay i am leaving for dallas you are still invited,yay leaving dallas still invited
0,@BBManik naw  are you!?,naw are you,naw
0,R.I.P. Sidekick. You've been through quite a lot with me ,rip sidekick you have been through quite a lot with me,rip sidekick quite lot
0,embarrassed. reality check ,embarrassed reality check,embarrassed reality check
0,I don't feed into bullshit.... Sorry  awwwwww what a cock succer !!!!!!!,i do not feed into bullshit sorry awwwwww what a cock succer,feed bullshit sorry awwwwww cock succer
1,@savagestar That would be cute ,that would be cute,would cute
0,eaten way too much junk food. feel as if i'm about to explode! not good ,eaten way too much junk food feel as if i am about to explode not good,eaten way much junk food feel explode good
1,gonna watch 'the outsiders' ,gonna watch the outsiders,gon na watch outsider
1,Aplusk..are u tlking to me?? ,apluskare u tlking to me,apluskare tlking
0,On the phone with my baby. I miss him so much. ,on the phone with my baby i miss him so much,phone baby miss much
0,@jendavis I understand! I've put 70k on the car I've had for just 3 years ,i understand i have put k on the car i have had for just years,understand put car year
1,Fuddruckers with @gcmilatzo ,fuddruckers with,fuddruckers
1,@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  ,hope ya hit the waffle house up in va beach too,hope ya hit waffle house va beach
0,watching lost and then i got to v=cover 150 pages ,watching lost and then i got to vcover pages,watching lost got vcover page
1,...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. ,i personally had my fill of the sister mary margarets something or other yrs of catholic schoolso done,personally fill sister mary margarets something yr catholic schoolso done
0,So upset that spring break is like over ,so upset that spring break is like over,upset spring break like
1,"Up was amazing! I love Doug the dog, must get a stuffed one at WDW, I hope to one day see my name in the credits for a Disney movie ",up was amazing i love doug the dog must get a stuffed one at wdw i hope to one day see my name in the credits for a disney movie,amazing love doug dog must get stuffed one wdw hope one day see name credit disney movie
0,"Soooo, song of my night - beep  by bobby v.  I miss my mommy.  . But i will be w/ her in the a.m . Jimboy's was on hit tonight !",soooo song of my night beep by bobby v i miss my mommy but i will be w her in the am jimboy is was on hit tonight,soooo song night beep bobby miss mommy jimboy hit tonight
1,@mkeguy69 thank you  have a great weekend,thank you have a great weekend,thank great weekend
1,@Fernwise  also with runes keep it simple as possible,also with runes keep it simple as possible,also rune keep simple possible
1,Had a great time last night skyy vodka does the body good... until the next morning.  hehe,had a great time last night skyy vodka does the body good until the next morning hehe,great time last night skyy vodka body good next morning hehe
1,@KrsytalNichole....What???? He better stop it!  Its amazing how u meet someone out the blue and click with them instantly! ,what he better stop it its amazing how u meet someone out the blue and click with them instantly,better stop amazing meet someone blue click instantly
0,@Cause4Conceit And I luv it!! But I'm very hurt that only Sam Goody had the album in my city and they sold out!! ,and i luv it but i am very hurt that only sam goody had the album in my city and they sold out,luv hurt sam goody album city sold
0,"oh man I read all of your tweets of Jon and Kate, you guys were right, this is tragic sad.  oh man",oh man i read all of your tweets of jon and kate you guys were right this is tragic sad oh man,oh man read tweet jon kate guy right tragic sad oh man
0,@caldjr aw hope you feel better soon ,aw hope you feel better soon,aw hope feel better soon
0,Super annoyed. I wrote a blog that took me 2 hours to write. And its gone now and i didn't get to save it. ,super annoyed i wrote a blog that took me hours to write and its gone now and i did not get to save it,super annoyed wrote blog took hour write gone get save
1,"U know 1st date awkwardness? Twitter is just like that. But the more you hang out 2gether, more comfortable u become ",u know st date awkwardness twitter is just like that but the more you hang out gether more comfortable u become,know st date awkwardness twitter like hang gether comfortable become
1,@fudosan - I'm still keen to look more at Android. I have been flat out getting my new laptop sorted out. ,i am still keen to look more at android i have been flat out getting my new laptop sorted out,still keen look android flat getting new laptop sorted
1,@eastyyy wow congrats! ,wow congrats,wow congrats
0,"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. ",they searched my person too one grabbed my stomach under my sweater that is what i get for wearing a sweater in snowy weather,searched person one grabbed stomach sweater get wearing sweater snowy weather
1,Mmmm slim fast and a fruit cup... Yummy breakfast ,mmmm slim fast and a fruit cup yummy breakfast,mmmm slim fast fruit cup yummy breakfast
0,i miss my baby in japan ,i miss my baby in japan,miss baby japan
1,"Eating PIJAHAT with @aileentanaga ,boya, jenni and erin ",eating pijahat with boya jenni and erin,eating pijahat boya jenni erin
0,@YellowHail  your picture is so small,your picture is so small,picture small
1,@suzanne_young it's nice isn't it... *pets shelf of pretty books* its just missing urs!!  lol,it is nice is not it pets shelf of pretty books its just missing urs lol,nice pet shelf pretty book missing ur lol
0,"Writing an impossible research paper that is taking about 5 hours, more like 7. Dreading the other 2 essays I have to do nexttt ",writing an impossible research paper that is taking about hours more like dreading the other essays i have to do nexttt,writing impossible research paper taking hour like dreading essay nexttt
0,@SuperKaylo where is the monkey island interview I can not find it  http://myloc.me/5zQG,where is the monkey island interview i can not find it,monkey island interview find
1,it's night already??? That was quick! ,it is night already that was quick,night already quick
0,At the gym. Pup is okay but needs eye drops and week off daycare for leg. ,at the gym pup is okay but needs eye drops and week off daycare for leg,gym pup okay need eye drop week daycare leg
1,I had forgotten just how lovely Loratabs are when in pain. Maybe sleep will be in my cards tonight. ,i had forgotten just how lovely loratabs are when in pain maybe sleep will be in my cards tonight,forgotten lovely loratabs pain maybe sleep card tonight
0,Watching naruto and josh stole my fruit snacks ,watching naruto and josh stole my fruit snacks,watching naruto josh stole fruit snack
0,"bearly got home   ugh need to wash clothes,shower,sleep and wake up early for summer school :@",bearly got home ugh need to wash clothesshowersleep and wake up early for summer school,bearly got home ugh need wash clothesshowersleep wake early summer school
0,@mitchelmusso I can't buy the album. I'm sad.  Reason: Australia. Need I say more? Congrats tho and all the best of luck!! &lt;3,i cannot buy the album i am sad reason australia need i say more congrats tho and all the best of luck lt,buy album sad reason australia need say congrats tho best luck lt
0,@wzzmypantz 12 hours + on doing 3 of my assessments which is due tomorrow ,hours on doing of my assessments which is due tomorrow,hour assessment due tomorrow
1,"&amp;&amp; i'LL confess that i can be a LiL seLfish,, smiLe ",ampamp i will confess that i can be a lil selfish smile,ampamp confess lil selfish smile
0,"just used my new DevaCurl diffuser! LOVE IT 5 stars! not liking my new hair cut though, a little too short ",just used my new devacurl diffuser love it stars not liking my new hair cut though a little too short,used new devacurl diffuser love star liking new hair cut though little short
0,@hazemtaji Did you buy a PS3? My xbox360 got the RROD ,did you buy a ps my xbox got the rrod,buy p xbox got rrod
0,@jraimond  That sucks ,that sucks,suck
0,Coach B I just saw ur msg you were n okc!!!  4059239095!!! Call me sometime,coach b i just saw ur msg you were n okc call me sometime,coach saw ur msg okc call sometime
0,@LisaHopeCyrus well i will have to goo soon ,well i will have to goo soon,well goo soon
1,@Jo6789 Indeed I do.  http://bit.ly/Iw9j9. Then again we are ESRI NZ  Estimating customers in NZ should recieve it sometime in June.,indeed i do then again we are esri nz estimating customers in nz should recieve it sometime in june,indeed esri nz estimating customer nz recieve sometime june
1,@jazzmouth Heh...never..I'll never go red commie...Mwuahahahaha!!! ROFL! ,hehneveri will never go red commiemwuahahahaha rofl,hehneveri never go red commiemwuahahahaha rofl
1,My kitty's so snuggly and Designed to Sell is on. What else do I need? Hmm... maybe some food ,my kitty is so snuggly and designed to sell is on what else do i need hmm maybe some food,kitty snuggly designed sell else need hmm maybe food
0,@Joejonaslooover yeah  both were really hard i thought..,yeah both were really hard i thought,yeah really hard thought
0,WTF is going on with the Chiefs? Getting smashed at the 1/2 way point of the S14 final ,wtf is going on with the chiefs getting smashed at the way point of the s final,wtf going chief getting smashed way point final
1,@xohsnap OMG YOU'RE FINALLY FRIENDS WITH THE EMO FAG!!! ,omg you are finally friends with the emo fag,omg finally friend emo fag
0,@bibzee Damn its gonna take a long TIME!.. ,damn its gonna take a long time,damn gon na take long time
1,"@marenhogan nice.  didn't sing to mine.  Can't, but looking for lessons to change that.  ",nice did not sing to mine cannot but looking for lessons to change that,nice sing mine looking lesson change
0,my sister woke me up at like 7  im tireddd. i hope today is fun...,my sister woke me up at like im tireddd i hope today is fun,sister woke like im tireddd hope today fun
1,@taraschwarze Not sure my tweets will be up to usual standard for some days while I wake up ,not sure my tweets will be up to usual standard for some days while i wake up,sure tweet usual standard day wake
1,No santigold for me tonight. work til 10 and I'm off tomorrow ,no santigold for me tonight work til and i am off tomorrow,santigold tonight work til tomorrow
0,"Keeping my friend and her children in my thoughts today, as they mourn the loss of their husband/father who suddenly died yesterday. ",keeping my friend and her children in my thoughts today as they mourn the loss of their husbandfather who suddenly died yesterday,keeping friend child thought today mourn loss husbandfather suddenly died yesterday
0,@nokking kino sold out already. Popular also. Borders said they're not sure if they're even able to get copies ,kino sold out already popular also borders said they are not sure if they are even able to get copies,kino sold already popular also border said sure even able get copy
1,"UP = soooooo good. i laughed, i cried. just so cute ",up soooooo good i laughed i cried just so cute,soooooo good laughed cried cute
0,"is SO close, but SOOOO fat away ",is so close but soooo fat away,close soooo fat away
0,@imsoblazedrtnow sorrrry poohh beaaarrr ,sorrrry poohh beaaarrr,sorrrry poohh beaaarrr
0,"worse than i suspected, she was so disgusted in me, she wouldn't talk to me, i had to talk to the dentistry-class-taking receptionist, ",worse than i suspected she was so disgusted in me she would not talk to me i had to talk to the dentistryclasstaking receptionist,worse suspected disgusted would talk talk dentistryclasstaking receptionist
0,@KendallMK That makes me sad that people would be mean to their puppy cause it was acting like a puppy ,that makes me sad that people would be mean to their puppy cause it was acting like a puppy,make sad people would mean puppy cause acting like puppy
1,Thank you @tenketanken @lifeinthegalaxy @empowereddanfit for the love and for the retweets!  â¼ â¥ â« âª,thank you for the love and for the retweets,thank love retweets
0,Hmm spent hours with emma yesterday and a couple with Sarah today so why do I feel like I haven't seen them in ages ,hmm spent hours with emma yesterday and a couple with sarah today so why do i feel like i have not seen them in ages,hmm spent hour emma yesterday couple sarah today feel like seen age
0,@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?,uh oh but is that not good its not got a hidden meaning or anything that i dont know about has it,uh oh good got hidden meaning anything dont know
1,"bum notes: guess what, I'm now watching MMK. Those TV shows in the buses must have some effect on my tolerance for local TV channels.  ",bum notes guess what i am now watching mmk those tv shows in the buses must have some effect on my tolerance for local tv channels,bum note guess watching mmk tv show bus must effect tolerance local tv channel
1,@mmkrill Brings back memories ,brings back memories,brings back memory
1,I know that I have issues but you're pretty fucked up too....so don't judge me ,i know that i have issues but you are pretty fucked up tooso do not judge me,know issue pretty fucked tooso judge
1,im putting skins on my ipod ,im putting skins on my ipod,im putting skin ipod
1,i'm yours - jason mraz....looking for an electric guitar  yay!!!1,i am yours jason mrazlooking for an electric guitar yay,jason mrazlooking electric guitar yay
1,@ShimTheDream i know i'm overdoing the anchorman thing but goddamn i just had to get that one in there. it was too perfect ,i know i am overdoing the anchorman thing but goddamn i just had to get that one in there it was too perfect,know overdoing anchorman thing goddamn get one perfect
1,@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. ,love the twitter handle is this intended to provide support for all bing addicts i feel like binging on bing,love twitter handle intended provide support bing addict feel like binging bing
0,@mcflymusic say happy birthday nanda to @nanda_marinho please ,say happy birthday nanda to please,say happy birthday nanda please
1,2 words. PARANOID~JONAS ,words paranoidjonas,word paranoidjonas
0,My exams just started  Boring.,my exams just started boring,exam started boring
0,Le sigh @ riggens that make easy shit hard ,le sigh riggens that make easy shit hard,le sigh riggens make easy shit hard
0,"@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too ",so am i and i dont know how to stop it its been the worst food too,dont know stop worst food
1,Waiting for Game 2 To Start! GO LAKERS ,waiting for game to start go lakers,waiting game start go lakers
0,@just_J_ i love bobby longs music ! Although i can't find it anywhere to download it ,i love bobby longs music although i cannot find it anywhere to download it,love bobby longs music although find anywhere download
1,"@rebekahhah We'll be filming / tweeting / blogging, so you'll be able to see all the doggy guests. ",we will be filming tweeting blogging so you will be able to see all the doggy guests,filming tweeting blogging able see doggy guest
0,Rahman's performing 2row in Pune. But I will not be able to make it ,rahman is performing row in pune but i will not be able to make it,rahman performing row pune able make
1,@PeterJWestwick oooo wanna share with me?! ,oooo wanna share with me,oooo wan na share
0,...And they cannot.  I wish i was in Las Vegas with my sister. I miss her.,and they cannot i wish i was in las vegas with my sister i miss her,wish la vega sister miss
1,@staureby More like Mr. FluMan right now i think. ,more like mr fluman right now i think,like mr fluman right think
0,@denkc for reals? ,for reals,real
1,"Here is a new art piece I'm wrking on for fun... http://bit.ly/gMhuG  , let me know what u think ",here is a new art piece i am wrking on for fun let me know what u think,new art piece wrking fun let know think
1,listening some music ,listening some music,listening music
0,@eedawson It's not gonna storm!  because I said so! ,it is not gonna storm because i said so,gon na storm said
1,got back from hastings/bexhill last night - brill wknd got a little bit burnt - ooops ,got back from hastingsbexhill last night brill wknd got a little bit burnt ooops,got back hastingsbexhill last night brill wknd got little bit burnt ooops
0,"@peterfacinelli I just got a screencap of your followers at 496,000 or so... OMG you're either so close or Twitter is messed up again ",i just got a screencap of your followers at or so omg you are either so close or twitter is messed up again,got screencap follower omg either close twitter messed
0,ugh I am literally the king of passing out early...left my laundry in the dryer in the basement for HOURS and missed a party in 2E ,ugh i am literally the king of passing out earlyleft my laundry in the dryer in the basement for hours and missed a party in e,ugh literally king passing earlyleft laundry dryer basement hour missed party
0,@iCrunchy I WISH I could do ap hwk ,i wish i could do ap hwk,wish could ap hwk
0,@JackAllTimeLow I think I'd enjoy it more if it wasn't so smoky  but we'll probably go!,i think i would enjoy it more if it was not so smoky but we will probably go,think would enjoy smoky probably go
0,ahhh noooo.....now everyone will know I'm gullible ,ahhh noooonow everyone will know i am gullible,ahhh noooonow everyone know gullible
0,@fallenstar_ Yeah it is! Why haven't they put the grey one up? ,yeah it is why have not they put the grey one up,yeah put grey one
0,"@crazydiamondsi Eh up you  We are talking SAAB 9-5 se, estate too. Had to get a 2.0t as insurance wouldn't touch Poppet on a 2.3t ",eh up you we are talking saab se estate too had to get a t as insurance would not touch poppet on a t,eh talking saab se estate get insurance would touch poppet
1,"@gingy23  I know, this week will be amazing. they're like 15 mins away from me omg omg",i know this week will be amazing they are like mins away from me omg omg,know week amazing like min away omg omg
0,i hate mornings. Even friday mornings. Wish i wasn't so tired.... ,i hate mornings even friday mornings wish i was not so tired,hate morning even friday morning wish tired
1,@Adri214 Hey...  I know you!!  ,hey i know you,hey know
1,@spytel we got thrown under the bus by friends were left behind to sit together. We agreed we in out on purpose sometime this week ,we got thrown under the bus by friends were left behind to sit together we agreed we in out on purpose sometime this week,got thrown bus friend left behind sit together agreed purpose sometime week
1,@mtvawards can other countries view the live feed as well? Thanks for your time. ,can other countries view the live feed as well thanks for your time,country view live feed well thanks time
1,@tommcfly http://twitpic.com/53nhq  &lt;3 When you guys doing a signing in scotland again?  there sooo fun &lt;3 XXXXXXX,lt when you guys doing a signing in scotland again there sooo fun lt xxxxxxx,lt guy signing scotland sooo fun lt xxxxxxx
1,@travismcglasson Some really awesome girls... ,some really awesome girls,really awesome girl
0,feck i heard. ,feck i heard,feck heard
1,hey guys hows it hangin not much news but one of my BFF's just cracked a rib kind of feel sorry 4 her i just got the sickest beats of T.I ,hey guys hows it hangin not much news but one of my bff is just cracked a rib kind of feel sorry her i just got the sickest beats of ti,hey guy hows hangin much news one bff cracked rib kind feel sorry got sickest beat ti
1,Favorite party about last night... Getting attention from guys while you sat and watched! ,favorite party about last night getting attention from guys while you sat and watched,favorite party last night getting attention guy sat watched
1,Will be away for a few minutes now. LUNCH!  hehe x,will be away for a few minutes now lunch hehe x,away minute lunch hehe
1,just finished working out ,just finished working out,finished working
0,"@KayluvsChrisM Pleasseee, I need it ",pleasseee i need it,pleasseee need
0,"Please don't leave, Tevez!  I rather dump Berbatov to be honest. a lazy player with 30 Mil tag. http://tinyurl.com/oddnpu (via @MUFCNews)",please do not leave tevez i rather dump berbatov to be honest a lazy player with mil tag via,please leave tevez rather dump berbatov honest lazy player mil tag via
1,@TheSourceress awww well sleep well when you fall asleep ,awww well sleep well when you fall asleep,awww well sleep well fall asleep
0,Just attempting to watch Quantum of Solace again after leaving it disappointed sometime ago... Yes it is as crap as I remembered ,just attempting to watch quantum of solace again after leaving it disappointed sometime ago yes it is as crap as i remembered,attempting watch quantum solace leaving disappointed sometime ago yes crap remembered
1,just woke up!!  off to Westfield in a while. AGAAAIIN - COMMENT*SUBSCRIBE http://youtube.com/anyuhh ; http://anja02.multiply.com/video,just woke up off to westfield in a while agaaaiin commentsubscribe,woke westfield agaaaiin commentsubscribe
0,"Spent evening looking after suki doggy shitting herself everywhere, falling off the decking into ditch and whining &amp; running into things ",spent evening looking after suki doggy shitting herself everywhere falling off the decking into ditch and whining amp running into things,spent evening looking suki doggy shitting everywhere falling decking ditch whining amp running thing
0,@iamjonathancook WHY ARENT YOU GUYS COMING TO TORONTOS WARPED TOUR DATE ?! same with atl. whatta dissapointment ,why arent you guys coming to torontos warped tour date same with atl whatta dissapointment,arent guy coming toronto warped tour date atl whatta dissapointment
1,On my way to @wesleyshearer's for breakfast ,on my way to is for breakfast,way breakfast
1,"Good morning! Feeling a little sNaRkY this morning.  How are you, you, you AND you?  ",good morning feeling a little snarky this morning how are you you you and you,good morning feeling little snarky morning
1,"@gardeninggeeks wow you're my first follower.  I assume that's from my Oprah message. lol.  Anyway, thanks. ",wow you are my first follower i assume that is from my oprah message lol anyway thanks,wow first follower assume oprah message lol anyway thanks
0,Is at home. Bleck. ,is at home bleck,home bleck
0,gosh i miss junpyo!  gotta hit quiapo for the the BOF dvd! LOL,gosh i miss junpyo gotta hit quiapo for the the bof dvd lol,gosh miss junpyo got ta hit quiapo bof dvd lol
0,Sending angry vibes to the individual in a blue vehicle who hit my car in the QFC parking lot on Broad and failed to leave a note ,sending angry vibes to the individual in a blue vehicle who hit my car in the qfc parking lot on broad and failed to leave a note,sending angry vibe individual blue vehicle hit car qfc parking lot broad failed leave note
0,@youcollme  I  was going to mention that you probably forgot  but the msg was just too long. I'm jealous you dreamt something wonderful ,i was going to mention that you probably forgot but the msg was just too long i am jealous you dreamt something wonderful,going mention probably forgot msg long jealous dreamt something wonderful
0,"@RenoJacy Wow, who doesn't love me? Mama doesn't ",wow who does not love me mama does not,wow love mama
1,"@bhaugh Hrm, happy &quot;10,000 days old&quot; day? ",hrm happy quot days oldquot day,hrm happy quot day oldquot day
1,excited that wristcutters is finally on On Demand ,excited that wristcutters is finally on on demand,excited wristcutters finally demand
1,"@chickieleighc Lol. Your welcome.   Fifth Element is one of my favorite movies, and well Star Trek.. is Star Trek! ;)",lol your welcome fifth element is one of my favorite movies and well star trek is star trek,lol welcome fifth element one favorite movie well star trek star trek
